# category	subcategory	protein:ID	color	position
Information Storage and Processing			rgb(91,146,168)	xy(100,0)
Metabolism			rgb(197, 104, 14)	xy(0,100)
Cellular Processes and Signaling			rgb(147, 91, 131)	xy(0,0)
Poorly Characterized			rgb(27,56,68)	xy(100,100)
Poorly Expressed			rgb(218,226,231)	xy(50, 100)
Heterologous Production			rgb(195,78,97)	xy(50,0)
Poorly Expressed	Poorly Expressed		rgb(236,240,243)	
Heterologous Production	Heterologous Production		rgb(217,85,98)	
Information Storage and Processing	RNA Processing and Modification		rgb(89,144,166)	
Information Storage and Processing	Chromatin Structure and Dynamics		rgb(59,87,108)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis		rgb(153,173,179)	
Information Storage and Processing	Transcription		rgb(114,173,192)	
Information Storage and Processing	Replication, Recombination and Repair		rgb(51,100,132)	
Cellular Processes and Signaling	Cell Cycle Control, Cell Division, Chromosome Partitioning		rgb(124,68,109)	
Cellular Processes and Signaling	Cell Wall/Membrane/Envelope Biogenesis		rgb(169,111,164)	
Cellular Processes and Signaling	Cell Motility		rgb(196,124,139)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones		rgb(128,78,127)	
Cellular Processes and Signaling	Signal Transduction Mechanisms		rgb(188,132,155)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport		rgb(101,63,78)	
Cellular Processes and Signaling	Defense Mechanisms		rgb(107,68,126)	
Cellular Processes and Signaling	Extracellular Structures		rgb(201,142,157)	
Cellular Processes and Signaling	Nuclear Structure		rgb(168,103,133)	
Cellular Processes and Signaling	Cytoskeleton Cellular Processes and Signaling		rgb(72,54,68)	
Metabolism	Energy Production and Conversion		rgb(252,172,52)	
Metabolism	Amino Acid Transport and Metabolism		rgb(244,182,43)	
Metabolism	Nucleotide Transport and Metabolism		rgb(252,201,64)	
Metabolism	Carbohydrate Transport and Metabolism		rgb(235,131,20)	
Metabolism	Coenzyme Transport and Metabolism		rgb(250,159,33)	
Metabolism	Lipid Transport and Metabolism		rgb(120,43,4)	
Metabolism	Inorganic Ion Transport and Metabolism		rgb(137,58,6)	
Metabolism	Secondary Metabolites Biosynthesis, Transport and Catabolism		rgb(188,92,8)	
Poorly Characterized	General Functional Prediction Only		rgb(4,25,26)	
Poorly Characterized	Function Unknown		rgb(17,50,63)	
Poorly Expressed	Poorly Expressed	Poorly Expressed:Poorly Expressed	rgb(236,240,243)	
Heterologous Production	Heterologous Production	HSA:HSA	rgb(208,71,81)
Poorly Characterized	Function Unknown	AOA65887.1:GS115_000001-T1	rgb(16,56,62)	
Metabolism	Carbohydrate Transport and Metabolism	STL1:GS115_000002-T1	rgb(241,127,22)	
Poorly Characterized	Function Unknown	AOA65548.1:GS115_000003-T1	rgb(11,54,59)	
Poorly Characterized	Function Unknown	AOA65939.1:GS115_000004-T1	rgb(16,44,69)	
Poorly Characterized	Function Unknown	AOA65939.1:GS115_000005-T1	rgb(21,48,60)	
Poorly Characterized	Function Unknown	AOA65939.1:GS115_000006-T1	rgb(10,54,60)	
Poorly Characterized	Function Unknown	AOA65730.1:GS115_000007-T1	rgb(22,56,57)	
Metabolism	Carbohydrate Transport and Metabolism	YFL040W:GS115_000008-T1	rgb(228,128,15)	
Metabolism	Secondary Metabolites Biosynthesis, Transport and Catabolism	AOA66719.1:GS115_000009-T1	rgb(188,93,6)	
Metabolism	Secondary Metabolites Biosynthesis, Transport and Catabolism	FMO1:GS115_000010-T1	rgb(182,94,9)	
Poorly Characterized	Function Unknown	THI2:GS115_000011-T1	rgb(19,49,59)	
Metabolism	Secondary Metabolites Biosynthesis, Transport and Catabolism	FOX2:GS115_000012-T1	rgb(187,97,7)	
Metabolism	Carbohydrate Transport and Metabolism	YCT1:GS115_000013-T1	rgb(236,125,15)	
Poorly Characterized	Function Unknown	ASG1:GS115_000014-T1	rgb(18,50,60)	
Poorly Characterized	Function Unknown	AOA66910.1:GS115_000015-T1	rgb(20,49,59)	
Poorly Characterized	Function Unknown	AOA66308.1:GS115_000016-T1	rgb(15,55,65)	
Cellular Processes and Signaling	Nuclear Structure	KAP104:GS115_000017-T1	rgb(172,106,132)	
Metabolism	Nucleotide Transport and Metabolism	DAL1:GS115_000018-T1	rgb(253,195,69)	
Metabolism	Energy Production and Conversion	UGA2:GS115_000019-T1	rgb(246,172,47)	
Information Storage and Processing	Replication, Recombination and Repair	RAD57:GS115_000020-T1	rgb(45,97,134)	
Information Storage and Processing	Transcription	MAF1:GS115_000021-T1	rgb(113,178,185)	
Poorly Characterized	Function Unknown	PHM7:GS115_000022-T1	rgb(13,48,66)	
Metabolism	Energy Production and Conversion	IPP1:GS115_000023-T1	rgb(247,173,46)	
Metabolism	Amino Acid Transport and Metabolism	TRP1:GS115_000024-T1	rgb(249,178,39)	
Information Storage and Processing	Replication, Recombination and Repair	RFC4:GS115_000025-T1	rgb(53,95,130)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	VPS52:GS115_000026-T1	rgb(99,68,79)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	TAX4:GS115_000027-T1	rgb(104,68,84)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	HMT1:GS115_000028-T1	rgb(126,79,128)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	RPL4B:GS115_000029-T1	rgb(150,170,185)	
