# category	subcategory	protein:ID	color	position
Information Storage and Processing			rgb(91,146,168)	xy(100,0)
Metabolism			rgb(197, 104, 14)	xy(0,100)
Cellular Processes and Signaling			rgb(147, 91, 131)	xy(0,0)
Poorly Characterized			rgb(27,56,68)	xy(100,100)
Poorly Expressed			rgb(218,226,231)	xy(50, 100)
Heterologous Production			rgb(195,78,97)	xy(50,0)
Poorly Expressed	Poorly Expressed		rgb(236,240,243)	
Heterologous Production	Heterologous Production		rgb(217,85,98)	
Information Storage and Processing	RNA Processing and Modification		rgb(89,144,166)	
Information Storage and Processing	Chromatin Structure and Dynamics		rgb(59,87,108)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis		rgb(153,173,179)	
Information Storage and Processing	Transcription		rgb(114,173,192)	
Information Storage and Processing	Replication, Recombination and Repair		rgb(51,100,132)	
Cellular Processes and Signaling	Cell Cycle Control, Cell Division, Chromosome Partitioning		rgb(124,68,109)	
Cellular Processes and Signaling	Cell Wall/Membrane/Envelope Biogenesis		rgb(169,111,164)	
Cellular Processes and Signaling	Cell Motility		rgb(196,124,139)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones		rgb(128,78,127)	
Cellular Processes and Signaling	Signal Transduction Mechanisms		rgb(188,132,155)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport		rgb(101,63,78)	
Cellular Processes and Signaling	Defense Mechanisms		rgb(107,68,126)	
Cellular Processes and Signaling	Extracellular Structures		rgb(201,142,157)	
Cellular Processes and Signaling	Nuclear Structure		rgb(168,103,133)	
Cellular Processes and Signaling	Cytoskeleton Cellular Processes and Signaling		rgb(72,54,68)	
Metabolism	Energy Production and Conversion		rgb(252,172,52)	
Metabolism	Amino Acid Transport and Metabolism		rgb(244,182,43)	
Metabolism	Nucleotide Transport and Metabolism		rgb(252,201,64)	
Metabolism	Carbohydrate Transport and Metabolism		rgb(235,131,20)	
Metabolism	Coenzyme Transport and Metabolism		rgb(250,159,33)	
Metabolism	Lipid Transport and Metabolism		rgb(120,43,4)	
Metabolism	Inorganic Ion Transport and Metabolism		rgb(137,58,6)	
Metabolism	Secondary Metabolites Biosynthesis, Transport and Catabolism		rgb(188,92,8)	
Poorly Characterized	General Functional Prediction Only		rgb(4,25,26)	
Poorly Characterized	Function Unknown		rgb(17,50,63)	
Poorly Expressed	Poorly Expressed	Poorly Expressed:Poorly Expressed	rgb(236,240,243)	
Heterologous Production	Heterologous Production	HSA:HSA	rgb(208,71,81)
